IP,Country,City,Temp,Weather
122.35.203.161,KR,Seoul,283.11,mist
174.217.10.111,US,Atkinson,288.87,overcast clouds
187.121.176.91,BR,Santo Cristo,300.96,scattered clouds
176.114.85.116,US,Lancaster,286.58,overcast clouds
174.59.204.133,US,Lancaster,286.68,overcast clouds
54.209.112.174,US,Chicago,285.78,few clouds
109.185.143.49,MD,Chișinău,289.78,clear sky
176.114.253.216,CZ,Prague,279.92,clear sky
210.171.87.76,JP,Anjo,288.67,broken clouds
24.169.250.142,US,Cedar Park,297.84,overcast clouds
